From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Gene Ontology (GO)	Gene Ontology IDs
Q9HAU4	Q9HAU4	reviewed	SMUF2_HUMAN	E3 ubiquitin-protein ligase SMURF2 (hSMURF2) (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase SMURF2) (SMAD ubiquitination regulatory factor 2) (SMAD-specific E3 ubiquitin-protein ligase 2)	SMURF2	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane raft [GO:0045121]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; ubiquitin ligase complex [GO:0000151]; identical protein binding [GO:0042802]; SMAD binding [GO:0046332]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; negative regulation of BMP signaling pathway [GO:0030514]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of ferroptosis [GO:0160020]; positive regulation of trophoblast cell migration [GO:1901165]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein ubiquitination [GO:0016567]; regulation of transforming growth factor beta receptor signaling pathway [GO:0017015]; ubiquitin-dependent protein catabolic process [GO:0006511]; Wnt signaling pathway, planar cell polarity pathway [GO:0060071]	GO:0000122; GO:0000151; GO:0004842; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005886; GO:0006511; GO:0016567; GO:0016607; GO:0017015; GO:0030512; GO:0030514; GO:0042802; GO:0043161; GO:0045121; GO:0045892; GO:0046332; GO:0060071; GO:0061630; GO:0090263; GO:0160020; GO:1901165
P08236	P08236	reviewed	BGLR_HUMAN	Beta-glucuronidase (EC 3.2.1.31) (Beta-G1)	GUSB	azurophil granule lumen [GO:0035578]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; lysosomal lumen [GO:0043202]; membrane [GO:0016020]; beta-glucuronidase activity [GO:0004566]; carbohydrate binding [GO:0030246]; protein domain specific binding [GO:0019904]; signaling receptor binding [GO:0005102]; aorta development [GO:0035904]; articular cartilage development [GO:0061975]; autophagy [GO:0006914]; bone resorption [GO:0045453]; carbohydrate metabolic process [GO:0005975]; cell population proliferation [GO:0008283]; chondrocyte hypertrophy [GO:0003415]; chondroitin sulfate proteoglycan catabolic process [GO:0030207]; cranial skeletal system development [GO:1904888]; endochondral ossification [GO:0001958]; energy homeostasis [GO:0097009]; gene expression [GO:0010467]; glycosaminoglycan catabolic process [GO:0006027]; growth plate cartilage morphogenesis [GO:0003422]; heparan sulfate proteoglycan catabolic process [GO:0030200]; homeostasis of number of cells [GO:0048872]; hyaluronan catabolic process [GO:0030214]; in utero embryonic development [GO:0001701]; inflammatory response [GO:0006954]; lysosome organization [GO:0007040]; multicellular organism growth [GO:0035264]; muscle system process [GO:0003012]; phosphatidylinositol-3-phosphate biosynthetic process [GO:0036092]; protein localization to nucleus [GO:0034504]; protein secretion [GO:0009306]; response to peptide hormone [GO:0043434]; retinoid metabolic process [GO:0001523]; TORC1 signaling [GO:0038202]	GO:0001523; GO:0001701; GO:0001958; GO:0003012; GO:0003415; GO:0003422; GO:0004566; GO:0005102; GO:0005576; GO:0005615; GO:0005783; GO:0005975; GO:0006027; GO:0006914; GO:0006954; GO:0007040; GO:0008283; GO:0009306; GO:0010467; GO:0016020; GO:0019904; GO:0030200; GO:0030207; GO:0030214; GO:0030246; GO:0034504; GO:0035264; GO:0035578; GO:0035904; GO:0036092; GO:0038202; GO:0043202; GO:0043434; GO:0045453; GO:0048872; GO:0061975; GO:0070062; GO:0097009; GO:1904813; GO:1904888
Q92817	Q92817	reviewed	EVPL_HUMAN	Envoplakin (210 kDa cornified envelope precursor protein) (210 kDa paraneoplastic pemphigus antigen) (p210)	EVPL	cornified envelope [GO:0001533]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; desmosome [GO:0030057]; extracellular exosome [GO:0070062]; intermediate filament cytoskeleton [GO:0045111]; membrane [GO:0016020]; cadherin binding [GO:0045296]; structural molecule activity [GO:0005198]; epidermis development [GO:0008544]; intermediate filament cytoskeleton organization [GO:0045104]; keratinization [GO:0031424]; keratinocyte differentiation [GO:0030216]; peptide cross-linking [GO:0018149]; regulation of antibacterial peptide production [GO:0002786]; wound healing [GO:0042060]	GO:0001533; GO:0002786; GO:0005198; GO:0005737; GO:0005829; GO:0008544; GO:0016020; GO:0018149; GO:0030057; GO:0030216; GO:0031424; GO:0042060; GO:0045104; GO:0045111; GO:0045296; GO:0070062
P46094	P46094	reviewed	XCR1_HUMAN	Chemokine XC receptor 1 (G-protein coupled receptor 5) (Lymphotactin receptor) (XC chemokine receptor 1)	XCR1 CCXCR1 GPR5	external side of plasma membrane [GO:0009897]; plasma membrane [GO:0005886]; C-C chemokine binding [GO:0019957]; C-C chemokine receptor activity [GO:0016493]; chemokine receptor activity [GO:0004950]; calcium-mediated signaling [GO:0019722]; cell chemotaxis [GO:0060326]; chemotaxis [GO:0006935]; G protein-coupled receptor signaling pathway [GO:0007186]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]; immune response [GO:0006955]; inflammatory response [GO:0006954]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; release of sequestered calcium ion into cytosol [GO:0051209]	GO:0004950; GO:0005886; GO:0006935; GO:0006954; GO:0006955; GO:0007186; GO:0007187; GO:0007204; GO:0009897; GO:0016493; GO:0019722; GO:0019957; GO:0051209; GO:0060326
Q01973	Q01973	reviewed	ROR1_HUMAN	Inactive tyrosine-protein kinase transmembrane receptor ROR1 (Neurotrophic tyrosine kinase, receptor-related 1)	ROR1 NTRKR1	axon [GO:0030424]; axon terminus [GO:0043679]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; stress fiber [GO:0001725]; ATP binding [GO:0005524]; coreceptor activity [GO:0015026]; signaling receptor activity [GO:0038023]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; Wnt receptor activity [GO:0042813]; Wnt-protein binding [GO:0017147]; astrocyte development [GO:0014002]; cell population proliferation [GO:0008283]; cell surface receptor protein tyrosine kinase signaling pathway [GO:0007169]; inner ear development [GO:0048839]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; sensory perception of sound [GO:0007605]	GO:0001725; GO:0004714; GO:0005524; GO:0005737; GO:0005886; GO:0007169; GO:0007605; GO:0008283; GO:0009986; GO:0014002; GO:0015026; GO:0017147; GO:0030424; GO:0038023; GO:0042813; GO:0043123; GO:0043235; GO:0043679; GO:0048839; GO:0051092
Q9UHL0	Q9UHL0	reviewed	DDX25_HUMAN	ATP-dependent RNA helicase DDX25 (EC 3.6.4.13) (DEAD box protein 25) (Gonadotropin-regulated testicular RNA helicase)	DDX25 GRTH	chromatoid body [GO:0033391]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; nucleus [GO:0005634]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; mRNA binding [GO:0003729]; RNA helicase activity [GO:0003724]; mRNA export from nucleus [GO:0006406]; poly(A)+ mRNA export from nucleus [GO:0016973]; regulation of translation [GO:0006417]; spermatid development [GO:0007286]	GO:0003724; GO:0003729; GO:0005524; GO:0005634; GO:0005737; GO:0006406; GO:0006417; GO:0007286; GO:0010494; GO:0016887; GO:0016973; GO:0033391
P60002	P60002	reviewed	ELOF1_HUMAN	Transcription elongation factor 1 homolog	ELOF1	chromosome [GO:0005694]; nucleus [GO:0005634]; transcription elongation factor complex [GO:0008023]; protein-macromolecule adaptor activity [GO:0030674]; RNA polymerase II complex binding [GO:0000993]; transcription elongation by RNA polymerase II [GO:0006368]; transcription-coupled nucleotide-excision repair [GO:0006283]	GO:0000993; GO:0005634; GO:0005694; GO:0006283; GO:0006368; GO:0008023; GO:0030674
Q04118	Q04118	reviewed	PRB3_HUMAN	Basic salivary proline-rich protein 3 (Parotid salivary glycoprotein G1) (Proline-rich protein G1)	PRB3	extracellular region [GO:0005576]; defense response to Gram-negative bacterium [GO:0050829]	GO:0005576; GO:0050829
Q9Y5U2	Q9Y5U2	reviewed	TSSC4_HUMAN	U5 small nuclear ribonucleoprotein TSSC4 (Tumor-suppressing STF cDNA 4 protein) (Tumor-suppressing subchromosomal transferable fragment candidate gene 4 protein)	TSSC4	cytoplasm [GO:0005737]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; U5 snRNP [GO:0005682]; molecular sequestering activity [GO:0140313]; protein-containing complex binding [GO:0044877]; spliceosomal snRNP assembly [GO:0000387]; spliceosomal tri-snRNP complex assembly [GO:0000244]	GO:0000244; GO:0000387; GO:0005634; GO:0005681; GO:0005682; GO:0005737; GO:0044877; GO:0140313
O60928	O60928	reviewed	KCJ13_HUMAN	Inward rectifier potassium channel 13 (Inward rectifier K(+) channel Kir7.1) (Potassium channel, inwardly rectifying subfamily J member 13)	KCNJ13	monoatomic ion channel complex [GO:0034702]; plasma membrane [GO:0005886]; inward rectifier potassium channel activity [GO:0005242]; potassium ion import across plasma membrane [GO:1990573]; potassium ion transport [GO:0006813]; regulation of membrane potential [GO:0042391]; regulation of monoatomic ion transmembrane transport [GO:0034765]	GO:0005242; GO:0005886; GO:0006813; GO:0034702; GO:0034765; GO:0042391; GO:1990573
Q9H488	Q9H488	reviewed	OFUT1_HUMAN	GDP-fucose protein O-fucosyltransferase 1 (EC 2.4.1.221) (Peptide-O-fucosyltransferase 1) (O-FucT-1)	POFUT1 FUT12 KIAA0180	endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]; peptide-O-fucosyltransferase activity [GO:0046922]; angiogenesis [GO:0001525]; fucose metabolic process [GO:0006004]; heart development [GO:0007507]; nervous system development [GO:0007399]; Notch signaling pathway [GO:0007219]; protein O-linked glycosylation via fucose [GO:0036066]; regulation of Notch signaling pathway [GO:0008593]; somitogenesis [GO:0001756]	GO:0001525; GO:0001756; GO:0005783; GO:0006004; GO:0007219; GO:0007399; GO:0007507; GO:0008593; GO:0016020; GO:0036066; GO:0046922
Q5TZF3	Q5TZF3	reviewed	ANR45_HUMAN	Ankyrin repeat domain-containing protein 45	ANKRD45	centrosome [GO:0005813]; cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; Flemming body [GO:0090543]; midbody [GO:0030496]; plasma membrane [GO:0005886]; cell population proliferation [GO:0008283]	GO:0005737; GO:0005813; GO:0005829; GO:0005886; GO:0008283; GO:0030496; GO:0032154; GO:0090543
Q7L266	Q7L266	reviewed	ASGL1_HUMAN	Isoaspartyl peptidase/L-asparaginase (EC 3.4.19.5) (EC 3.5.1.1) (Asparaginase-like protein 1) (Beta-aspartyl-peptidase) (Isoaspartyl dipeptidase) (L-asparagine amidohydrolase) [Cleaved into: Isoaspartyl peptidase/L-asparaginase alpha chain; Isoaspartyl peptidase/L-asparaginase beta chain]	ASRGL1 ALP CRASH	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; photoreceptor inner segment [GO:0001917]; asparaginase activity [GO:0004067]; beta-aspartyl-peptidase activity [GO:0008798]; L-asparagine catabolic process via L-aspartate [GO:0033345]; proteolysis [GO:0006508]	GO:0001917; GO:0004067; GO:0005634; GO:0005737; GO:0005829; GO:0006508; GO:0008798; GO:0033345
Q8TCU4	Q8TCU4	reviewed	ALMS1_HUMAN	Centrosome-associated protein ALMS1 (Alstrom syndrome protein 1)	ALMS1 KIAA0328	centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cytosol [GO:0005829]; microtubule cytoskeleton [GO:0015630]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; sperm end piece [GO:0097229]; spindle pole [GO:0000922]; endosomal transport [GO:0016197]; positive regulation of cold-induced thermogenesis [GO:0120162]; regulation of centriole replication [GO:0046599]; regulation of stress fiber assembly [GO:0051492]	GO:0000922; GO:0005654; GO:0005739; GO:0005813; GO:0005829; GO:0015630; GO:0016197; GO:0036064; GO:0046599; GO:0051492; GO:0097229; GO:0120162
P42785	P42785	reviewed	PCP_HUMAN	Lysosomal Pro-X carboxypeptidase (EC 3.4.16.2) (Angiotensinase C) (Lysosomal carboxypeptidase C) (Proline carboxypeptidase) (Prolylcarboxypeptidase) (PRCP)	PRCP PCP	azurophil granule membrane [GO:0035577]; basal part of cell [GO:0045178]; extracellular exosome [GO:0070062]; ficolin-1-rich granule membrane [GO:0101003]; plasma membrane [GO:0005886]; dipeptidyl-peptidase activity [GO:0008239]; metallocarboxypeptidase activity [GO:0004181]; serine-type carboxypeptidase activity [GO:0004185]; angiogenesis involved in wound healing [GO:0060055]; angiotensin maturation [GO:0002003]; energy homeostasis [GO:0097009]; glucose homeostasis [GO:0042593]; negative regulation of systemic arterial blood pressure [GO:0003085]; plasma kallikrein-kinin cascade [GO:0002353]; regulation of blood vessel endothelial cell migration [GO:0043535]; regulation of reactive oxygen species metabolic process [GO:2000377]; regulation of thyroid hormone receptor signaling pathway [GO:0002155]	GO:0002003; GO:0002155; GO:0002353; GO:0003085; GO:0004181; GO:0004185; GO:0005886; GO:0008239; GO:0035577; GO:0042593; GO:0043535; GO:0045178; GO:0060055; GO:0070062; GO:0097009; GO:0101003; GO:2000377
Q9Y289	Q9Y289	reviewed	SC5A6_HUMAN	Sodium-dependent multivitamin transporter (Na(+)-dependent multivitamin transporter) (hSMVT) (Solute carrier family 5 member 6)	SLC5A6 SMVT	apical plasma membrane [GO:0016324]; basal plasma membrane [GO:0009925]; basolateral plasma membrane [GO:0016323]; brush border membrane [GO:0031526]; membrane [GO:0016020]; plasma membrane [GO:0005886]; biotin transmembrane transporter activity [GO:0015225]; iodide transmembrane transporter activity [GO:0015111]; monocarboxylate:sodium symporter activity [GO:0140161]; pantothenate transmembrane transporter activity [GO:0015233]; pantothenate:sodium symporter activity [GO:0015498]; sodium-dependent multivitamin transmembrane transporter activity [GO:0008523]; vitamin transmembrane transporter activity [GO:0090482]; biotin import across plasma membrane [GO:1905135]; biotin metabolic process [GO:0006768]; biotin transport [GO:0015878]; iodide transmembrane transport [GO:1904200]; pantothenate transmembrane transport [GO:0015887]; sodium ion transport [GO:0006814]; transport across blood-brain barrier [GO:0150104]	GO:0005886; GO:0006768; GO:0006814; GO:0008523; GO:0009925; GO:0015111; GO:0015225; GO:0015233; GO:0015498; GO:0015878; GO:0015887; GO:0016020; GO:0016323; GO:0016324; GO:0031526; GO:0090482; GO:0140161; GO:0150104; GO:1904200; GO:1905135
P0DJD7	P0DJD7	reviewed	PEPA4_HUMAN	Pepsin A-4 (EC 3.4.23.1) (Pepsinogen-4)	PGA4	extracellular exosome [GO:0070062]; multivesicular body lumen [GO:0097486]; aspartic-type endopeptidase activity [GO:0004190]; digestion [GO:0007586]; proteolysis [GO:0006508]	GO:0004190; GO:0006508; GO:0007586; GO:0070062; GO:0097486
P43626	P43626	reviewed	KI2L1_HUMAN	Killer cell immunoglobulin-like receptor 2DL1 (CD158 antigen-like family member A) (Natural killer-associated transcript 1) (NKAT-1) (p58 natural killer cell receptor clones CL-42/47.11) (p58 NK receptor CL-42/47.11) (p58.1 MHC class-I-specific NK receptor) (CD antigen CD158a)	KIR2DL1 CD158A NKAT1	plasma membrane [GO:0005886]; signaling receptor activity [GO:0038023]; immune response [GO:0006955]; immune response-regulating signaling pathway [GO:0002764]; natural killer cell inhibitory signaling pathway [GO:0002769]	GO:0002764; GO:0002769; GO:0005886; GO:0006955; GO:0038023
Q58A45	Q58A45	reviewed	PAN3_HUMAN	PAN2-PAN3 deadenylation complex subunit PAN3 (PAB1P-dependent poly(A)-specific ribonuclease) (Poly(A)-nuclease deadenylation complex subunit 3) (PAN deadenylation complex subunit 3)	PAN3	cytosol [GO:0005829]; nucleus [GO:0005634]; P-body [GO:0000932]; PAN complex [GO:0031251]; ATP binding [GO:0005524]; poly(A) binding [GO:0008143]; protein kinase activity [GO:0004672]; zinc ion binding [GO:0008270]; deadenylation-dependent decapping of nuclear-transcribed mRNA [GO:0000290]; mRNA processing [GO:0006397]; nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]; positive regulation of cytoplasmic mRNA processing body assembly [GO:0010606]; protein targeting [GO:0006605]	GO:0000289; GO:0000290; GO:0000932; GO:0004672; GO:0005524; GO:0005634; GO:0005829; GO:0006397; GO:0006605; GO:0008143; GO:0008270; GO:0010606; GO:0031251
Q9BXT6	Q9BXT6	reviewed	M10L1_HUMAN	RNA helicase Mov10l1 (EC 3.6.4.13) (Moloney leukemia virus 10-like protein 1) (MOV10-like protein 1)	MOV10L1	cytosol [GO:0005829]; P granule [GO:0043186]; pi-body [GO:0071546]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; magnesium ion binding [GO:0000287]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; germ cell development [GO:0007281]; male meiosis I [GO:0007141]; piRNA processing [GO:0034587]; regulatory ncRNA-mediated post-transcriptional gene silencing [GO:0035194]; spermatogenesis [GO:0007283]; transposable element silencing by piRNA-mediated DNA methylation [GO:0141196]	GO:0000287; GO:0003723; GO:0003724; GO:0005524; GO:0005829; GO:0007141; GO:0007281; GO:0007283; GO:0016887; GO:0034587; GO:0035194; GO:0043186; GO:0071546; GO:0141196
Q08116	Q08116	reviewed	RGS1_HUMAN	Regulator of G-protein signaling 1 (RGS1) (B-cell activation protein BL34) (Early response protein 1R20)	RGS1 1R20 BL34 IER1	cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; plasma membrane [GO:0005886]; calmodulin binding [GO:0005516]; G-protein alpha-subunit binding [GO:0001965]; GTPase activator activity [GO:0005096]; GTPase activity [GO:0003924]; adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway [GO:0007193]; G protein-coupled receptor signaling pathway [GO:0007186]; immune response [GO:0006955]; leukotriene signaling pathway [GO:0061737]; negative regulation of signal transduction [GO:0009968]; positive regulation of GTPase activity [GO:0043547]; response to bacterium [GO:0009617]; signal transduction [GO:0007165]	GO:0001965; GO:0003924; GO:0005096; GO:0005516; GO:0005829; GO:0005886; GO:0006955; GO:0007165; GO:0007186; GO:0007193; GO:0009617; GO:0009898; GO:0009968; GO:0043547; GO:0061737
Q6QHC5	Q6QHC5	reviewed	DEGS2_HUMAN	Sphingolipid delta(4)-desaturase/C4-monooxygenase DES2 (EC 1.14.18.5) (EC 1.14.19.17) (Degenerative spermatocyte homolog 2) (Sphingolipid 4-desaturase) (Sphingolipid C4-monooxygenase)	DEGS2 C14orf66	endoplasmic reticulum membrane [GO:0005789]; sphingolipid C4-monooxygenase activity [GO:0102772]; sphingolipid delta-4 desaturase activity [GO:0042284]; ceramide biosynthetic process [GO:0046513]; sphinganine metabolic process [GO:0006667]; sphingolipid biosynthetic process [GO:0030148]	GO:0005789; GO:0006667; GO:0030148; GO:0042284; GO:0046513; GO:0102772
O60481	O60481	reviewed	ZIC3_HUMAN	Zinc finger protein ZIC 3 (Zinc finger protein 203) (Zinc finger protein of the cerebellum 3)	ZIC3 ZNF203	cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]; transcription coactivator activity [GO:0003713]; zinc ion binding [GO:0008270]; atrial cardiac muscle tissue development [GO:0003228]; axial mesoderm development [GO:0048318]; central nervous system development [GO:0007417]; central nervous system segmentation [GO:0035283]; cranial skeletal system development [GO:1904888]; determination of digestive tract left/right asymmetry [GO:0071907]; determination of left/right asymmetry in nervous system [GO:0035545]; determination of left/right symmetry [GO:0007368]; determination of liver left/right asymmetry [GO:0071910]; determination of pancreatic left/right asymmetry [GO:0035469]; embryonic pattern specification [GO:0009880]; face development [GO:0060324]; germ-line stem cell population maintenance [GO:0030718]; heart looping [GO:0001947]; hippocampus development [GO:0021766]; left/right axis specification [GO:0070986]; limb morphogenesis [GO:0035108]; lung development [GO:0030324]; mRNA transcription by RNA polymerase II [GO:0042789]; neural plate development [GO:0001840]; neuron differentiation [GO:0030182]; olfactory bulb development [GO:0021772]; outer ear morphogenesis [GO:0042473]; paraxial mesoderm development [GO:0048339]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; primitive streak formation [GO:0090009]; skeletal system development [GO:0001501]; smoothened signaling pathway [GO:0007224]; stem cell differentiation [GO:0048863]	GO:0000978; GO:0000981; GO:0001228; GO:0001501; GO:0001840; GO:0001947; GO:0003228; GO:0003700; GO:0003713; GO:0005634; GO:0005654; GO:0005737; GO:0007224; GO:0007368; GO:0007417; GO:0008270; GO:0009880; GO:0021766; GO:0021772; GO:0030182; GO:0030324; GO:0030718; GO:0035108; GO:0035283; GO:0035469; GO:0035545; GO:0042473; GO:0042789; GO:0043565; GO:0045893; GO:0045944; GO:0048318; GO:0048339; GO:0048863; GO:0060324; GO:0070986; GO:0071907; GO:0071910; GO:0090009; GO:1904888; GO:1990837
Q12988	Q12988	reviewed	HSPB3_HUMAN	Heat shock protein beta-3 (HspB3) (Heat shock 17 kDa protein) (HSP 17) (Heat shock protein family B member 3) (Protein 3)	HSPB3 HSP27 HSPL27	cytoplasm [GO:0005737]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; response to unfolded protein [GO:0006986]	GO:0005634; GO:0005737; GO:0006986; GO:0016607
Q53TQ3	Q53TQ3	reviewed	IN80D_HUMAN	INO80 complex subunit D	INO80D	Ino80 complex [GO:0031011]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; chromatin remodeling [GO:0006338]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; positive regulation of DNA repair [GO:0045739]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of telomere maintenance in response to DNA damage [GO:1904507]; regulation of cell cycle [GO:0051726]; regulation of chromosome organization [GO:0033044]; regulation of DNA repair [GO:0006282]; regulation of DNA replication [GO:0006275]; regulation of DNA strand elongation [GO:0060382]; regulation of embryonic development [GO:0045995]; telomere maintenance [GO:0000723]	GO:0000723; GO:0005634; GO:0005654; GO:0006275; GO:0006281; GO:0006282; GO:0006310; GO:0006338; GO:0031011; GO:0033044; GO:0045739; GO:0045893; GO:0045995; GO:0051726; GO:0060382; GO:1904507
Q8N6T0	Q8N6T0	reviewed	TO6BL_HUMAN	Type 2 DNA topoisomerase 6 subunit B-like (TOP6B like initiator of meiotic double strand breaks) (Type 2 DNA topoisomerase VI subunit B-like) (TOPOVIBL)	TOP6BL C11orf80	chromosome [GO:0005694]; meiotic DNA double-strand break formation [GO:0042138]; reciprocal meiotic recombination [GO:0007131]	GO:0005694; GO:0007131; GO:0042138
Q9NP50	Q9NP50	reviewed	SHCAF_HUMAN	SIN3-HDAC complex-associated factor (Protein FAM60A) (Tera protein homolog)	SINHCAF C12orf14 FAM60A L4	nucleus [GO:0005634]; Sin3-type complex [GO:0070822]; negative regulation of cell differentiation [GO:0045596]; negative regulation of cell migration [GO:0030336]; negative regulation of stem cell population maintenance [GO:1902455]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of stem cell population maintenance [GO:1902459]	GO:0000122; GO:0005634; GO:0008284; GO:0030336; GO:0030512; GO:0045596; GO:0070822; GO:1902455; GO:1902459
O95274	O95274	reviewed	LYPD3_HUMAN	Ly6/PLAUR domain-containing protein 3 (GPI-anchored metastasis-associated protein C4.4A homolog) (Matrigel-induced gene C4 protein) (MIG-C4)	LYPD3 C4.4A UNQ491/PRO1007	extracellular region [GO:0005576]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]; side of membrane [GO:0098552]; laminin binding [GO:0043236]; cell-matrix adhesion [GO:0007160]; negative regulation of smooth muscle cell apoptotic process [GO:0034392]	GO:0005576; GO:0005615; GO:0005886; GO:0007160; GO:0034392; GO:0043236; GO:0098552
Q92854	Q92854	reviewed	SEM4D_HUMAN	Semaphorin-4D (A8) (BB18) (GR3) (CD antigen CD100)	SEMA4D C9orf164 CD100 SEMAJ	centrosome [GO:0005813]; ciliary basal body [GO:0036064]; ciliary transition zone [GO:0035869]; extracellular space [GO:0005615]; GABA-ergic synapse [GO:0098982]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; semaphorin receptor complex [GO:0002116]; chemorepellent activity [GO:0045499]; identical protein binding [GO:0042802]; neuropilin binding [GO:0038191]; receptor ligand activity [GO:0048018]; semaphorin receptor binding [GO:0030215]; signaling receptor activity [GO:0038023]; signaling receptor binding [GO:0005102]; transmembrane signaling receptor activity [GO:0004888]; axon guidance [GO:0007411]; bone trabecula morphogenesis [GO:0061430]; cell adhesion [GO:0007155]; immune response [GO:0006955]; leukocyte aggregation [GO:0070486]; negative chemotaxis [GO:0050919]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell adhesion [GO:0007162]; negative regulation of osteoblast differentiation [GO:0045668]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neural crest cell migration [GO:0001755]; ossification involved in bone maturation [GO:0043931]; positive regulation of cell migration [GO:0030335]; positive regulation of collateral sprouting [GO:0048672]; positive regulation of GTPase activity [GO:0043547]; positive regulation of inhibitory synapse assembly [GO:1905704]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of Rho protein signal transduction [GO:0035025]; regulation of cell projection organization [GO:0031344]; regulation of cell shape [GO:0008360]; regulation of dendrite morphogenesis [GO:0048814]; semaphorin-plexin signaling pathway [GO:0071526]	GO:0000122; GO:0001755; GO:0001934; GO:0002116; GO:0004888; GO:0005102; GO:0005615; GO:0005654; GO:0005813; GO:0005886; GO:0006955; GO:0007155; GO:0007162; GO:0007411; GO:0008360; GO:0030215; GO:0030335; GO:0031344; GO:0035025; GO:0035869; GO:0036064; GO:0038023; GO:0038191; GO:0042802; GO:0043066; GO:0043547; GO:0043931; GO:0045211; GO:0045499; GO:0045668; GO:0048018; GO:0048672; GO:0048814; GO:0050919; GO:0051897; GO:0061430; GO:0070486; GO:0071526; GO:0098982; GO:1905704
Q9H204	Q9H204	reviewed	MED28_HUMAN	Mediator of RNA polymerase II transcription subunit 28 (Endothelial-derived protein 1) (Mediator complex subunit 28) (Merlin and Grb2-interacting cytoskeletal protein) (Magicin) (Tumor angiogenesis marker EG-1)	MED28 EG1 FKSG20	core mediator complex [GO:0070847]; cortical actin cytoskeleton [GO:0030864]; mediator complex [GO:0016592]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; actin binding [GO:0003779]; negative regulation of smooth muscle cell differentiation [GO:0051151]; positive regulation of transcription elongation by RNA polymerase II [GO:0032968]; positive regulation of transcription initiation by RNA polymerase II [GO:0060261]; RNA polymerase II preinitiation complex assembly [GO:0051123]; somatic stem cell population maintenance [GO:0035019]	GO:0003779; GO:0005634; GO:0005654; GO:0016020; GO:0016592; GO:0030864; GO:0032968; GO:0035019; GO:0051123; GO:0051151; GO:0060261; GO:0070847
